Title,Artist,First Charted,Top position,Weeks on chart,Lyrics
Judy Loves Me,Johnny Crawford ,1964-01-18,95,3,
Slipin' And Slidin',Jim and Monica ,1964-01-18,96,2,
Charade,Andy Williams ,1964-01-18,100,1,
Get Back,The Beatles With Billy Preston ,1969-05-31,1,12,
In The Ghetto,Elvis Presley ,1969-05-31,3,13,
Love Theme From Romeo & Juliet,Henry Mancini And His Orchestra ,1969-05-31,1,14,
Bad Moon Rising,Creedence Clearwater Revival ,1969-05-31,2,14,
One,Three Dog Night ,1969-05-31,5,16,
Where's The Playground Susie,Glen Campbell ,1969-05-31,26,8,
Everyday With You Girl,Classics IV Featuring Dennis Yost ,1969-05-31,19,11,
Black Pearl,"Sonny Charles & The Checkmates, Ltd. ",1969-05-31,13,13,
Don't Let The Joneses Get You Down,The Temptations ,1969-05-31,20,8,
The Windmills Of Your Mind,Dusty Springfield ,1969-05-31,31,8,
Medicine Man (Part I),Buchanan Brothers ,1969-05-31,22,11,
Testify (I Wonna),Johnnie Taylor ,1969-05-31,36,9,
Israelites,Desmond Dekker & The Aces ,1969-05-31,9,10,
Don't Let Me Down,The Beatles With Billy Preston ,1969-05-31,35,4,
See,The Rascals ,1969-05-31,27,8,
Special Delivery,1910 Fruitgum Co. ,1969-05-31,38,9,
Love Me Tonight,Tom Jones ,1969-05-31,13,11,
Proud Mary,Solomon Burke ,1969-05-31,45,7,
The April Fools,Dionne Warwick ,1969-05-31,37,7,
Let Me,Paul Revere & The Raiders Featuring Mark Lindsay ,1969-05-31,20,12,
Welcome Me Love,The Brooklyn Bridge Featuring Johnny Maestro ,1969-05-31,48,9,
It's Never Too Late,Steppenwolf ,1969-05-31,51,5,
I Could Never Lie To You,The New Colony Six ,1969-05-31,50,8,
What Is A Man,Four Tops ,1969-05-31,53,7,
"Friend, Lover, Woman, Wife",O.C. Smith ,1969-05-31,47,9,
With Pen In Hand,Vikki Carr ,1969-05-31,35,13,
Good Morning Starshine,Oliver ,1969-05-31,3,13,
What Does It Take (To Win Your Love),Jr. Walker & The All Stars ,1969-05-31,4,16,
Tomorrow Tomorrow,Bee Gees ,1969-05-31,54,6,
No Matter What Sign You Are,Diana Ross & The Supremes ,1969-05-31,31,6,
Pretty World,Sergio Mendes & Brasil '66 ,1969-05-31,62,6,
I Turned You On,The Isley Brothers ,1969-05-31,23,10,
Born To Be Wild,Wilson Pickett ,1969-05-31,64,4,
I Can Sing A Rainbow/Love Is Blue,The Dells ,1969-05-31,22,10,
We Got More Soul,Dyke And The Blazers ,1969-05-31,35,10,
My Cherie Amour,Stevie Wonder ,1969-05-31,4,14,
Without Her,Herb Alpert ,1969-05-31,63,6,
Moody Woman,Jerry Butler ,1969-05-31,24,10,
So I Can Love You,The Emotions ,1969-05-31,39,10,
Color Him Father,The Winstons ,1969-05-31,7,13,
Love Man,Otis Redding ,1969-05-31,72,5,
"Baby, I Love You",Andy Kim ,1969-05-31,9,16,
Truck Stop,Jerry Smith and his Pianos ,1969-05-31,71,7,
Spinning Wheel,"Blood, Sweat & Tears ",1969-05-31,2,13,
The Minotaur,Dick Hyman & His Electric Eclectics ,1969-05-31,38,8,
I Can't Quit Her,The Arbors ,1969-05-31,67,5,
The Popcorn,James Brown ,1969-05-31,30,9,
Sincerely,Paul Anka ,1969-05-31,80,4,
Why I Sing The Blues,B.B. King ,1969-05-31,61,10,
You Don't Need Me For Anything Anymore,Brenda Lee ,1969-05-31,84,3,
Good Morning Starshine,Strawberry Alarm Clock ,1969-05-31,87,2,
I Want To Take You Higher,Sly & The Family Stone ,1969-05-31,38,16,
I Threw It All Away,Bob Dylan ,1969-05-31,85,5,
Hushabye,Jay & The Americans ,1969-05-31,62,7,
Memphis Underground,Herbie Mann ,1969-05-31,44,10,
Brown Arms In Houston,Orpheus ,1969-05-31,91,3,
Let's Dance,Ola & The Janglers ,1969-05-31,92,3,
I Need You Now,Ronnie Dove ,1969-05-31,93,2,
Running Bear,Sonny James ,1969-05-31,94,2,
Hurt So Bad,The Lettermen ,1969-05-31,12,21,
Too Experienced,Eddie Lovette ,1969-05-31,95,3,
Here We Go Again,Nancy Sinatra ,1969-05-31,98,2,
Sausalito,Al Martino ,1969-05-31,99,3,
Son Of A Travelin' Man,Ed Ames ,1969-05-31,92,4,
Didn't We,Richard Harris ,1969-06-07,63,6,
My Pledge Of Love,The Joe Jeffrey Group ,1969-06-07,14,12,
You Don't Have To Walk In The Rain,The Turtles ,1969-06-07,51,7,
It's Getting Better,Mama Cass ,1969-06-07,30,19,
Crystal Blue Persuasion,Tommy James And The Shondells ,1969-06-07,2,15,
Mrs. Robinson,Booker T. & The MG's ,1969-06-07,37,8,
Listen To The Band,The Monkees ,1969-06-07,63,8,
"Ruby, Don't Take Your Love To Town",Kenny Rogers & The First Edition ,1969-06-07,6,13,
Galveston,Roger Williams ,1969-06-07,99,2,
The Ballad Of John And Yoko,The Beatles ,1969-06-14,8,9,
Mother Popcorn (You Got To Have A Mother For Me) Part 1,James Brown ,1969-06-14,11,12,
"Yesterday, When I Was Young",Roy Clark ,1969-06-14,19,10,
The Girl I'll Never Know (Angels Never Fly This Low),Frankie Valli ,1969-06-14,52,7,
Quentin's Theme,The Charles Randolph Grean Sounde ,1969-06-14,13,11,
Dammit Isn't God's Last Name,Frankie Laine ,1969-06-14,86,3,
"Don't Wake Me Up In The Morning, Michael",Peppermint Rainbow ,1969-06-14,54,9,
The Days Of Sand And Shovels,Bobby Vinton ,1969-06-14,34,8,
It's My Thing (You Can't Tell Me Who To Sock It To),Marva Whitney ,1969-06-14,82,4,
Funny Feeling,The Delfonics ,1969-06-14,94,2,
Moonflight,Vik Venus Alias: Your Main Moon Man ,1969-06-14,38,10,
Gotta Get To Know You,Bobby Bland ,1969-06-14,91,3,
Tell All The People,The Doors ,1969-06-14,57,9,
When You Walk In The Room,Jackie DeShannon ,1964-01-25,99,1,
Who's Been Sleeping In My Bed?,Linda Scott ,1964-01-25,100,1,
In The Year 2525,Zager & Evans ,1969-06-21,1,13,
Doggone Right,Smokey Robinson & The Miracles ,1969-06-21,32,8,
Moments To Remember,The Vogues ,1969-06-21,47,5,
The Prophecy Of Daniel and John The Divine (Six-Six-Six),The Cowsills ,1969-06-21,75,4,
I'd Rather Be An Old Man's Sweetheart (Than A Young Man's Fool),Candi Staton ,1969-06-21,46,8,
The Feeling Is Right,Clarence Carter ,1969-06-21,65,6,
Girl You're Too Young,Archie Bell & The Drells ,1969-06-21,59,7,
"Baby, Don't Be Looking In My Mind",Joe Simon ,1969-06-21,72,5,
And She's Mine,Spanky And Our Gang ,1969-06-21,97,1,
"Pinch Me (Baby, Convince Me)",Ohio Express ,1969-06-21,99,2,
Feeling Alright,Joe Cocker ,1969-06-21,33,15,
Sweet Caroline (Good Times Never Seemed So Good),Neil Diamond ,1969-06-28,4,14,
Good Old Rock 'N Roll,Cat Mother & the All Night News Boys ,1969-06-28,21,8,
Reconsider Me,Johnny Adams ,1969-06-28,28,8,
Choice Of Colors,The Impressions ,1969-06-28,21,11,
I'm Still A Struggling Man,Edwin Starr ,1969-06-28,80,4,
Put A Little Love In Your Heart,Jackie DeShannon ,1969-06-28,4,14,
Forever,Mercy ,1969-06-28,79,5,
On Campus,Dickie Goodman ,1969-06-28,45,8,
"Abraham, Martin And John",Moms Mabley ,1969-06-28,35,6,
While You're Out Looking For Sugar?,The Honey Cone ,1969-06-28,62,8,
Never Comes The Day,The Moody Blues ,1969-06-28,91,4,
Along Came Jones,Ray Stevens ,1969-06-28,27,8,
Don't Tell Your Mama (Where You've Been),Eddie Floyd ,1969-06-28,73,7,
Everything I Do Gonh Be Funky (From Now On),Lee Dorsey ,1969-06-28,95,3,
Muddy River,Johnny Rivers ,1969-06-28,41,11,
(Sittin' On) The Dock Of The Bay,Sergio Mendes & Brasil '66 ,1969-06-28,66,5,
Theme From A Summer Place,The Ventures ,1969-06-28,83,5,
Honky Tonk Women,The Rolling Stones ,1969-09-06,1,15,
A Boy Named Sue,Johnny Cash ,1969-09-06,2,12,
"Sugar, Sugar",The Archies ,1969-09-06,1,22,
Green River,Creedence Clearwater Revival ,1969-09-06,2,13,
Lay Lady Lay,Bob Dylan ,1969-09-06,7,14,
Easy To Be Hard,Three Dog Night ,1969-09-06,4,13,
I Can't Get Next To You,The Temptations ,1969-09-06,1,17,
Laughing,The Guess Who ,1969-09-06,10,11,
Polk Salad Annie,Tony Joe White ,1969-09-06,8,12,
Give Peace A Chance,Plastic Ono Band ,1969-09-06,14,9,
I'd Wait A Million Years,The Grass Roots ,1969-09-06,15,15,
Soul Deep,The Box Tops ,1969-09-06,18,14,
Share Your Love With Me,Aretha Franklin ,1969-09-06,13,10,
Jean,Oliver ,1969-09-06,2,14,
Keem-O-Sabe,The Electric Indian ,1969-09-06,16,11,
The Nitty Gritty,Gladys Knight And The Pips ,1969-09-06,19,11,
Workin' On A Groovy Thing,The 5th Dimension ,1969-09-06,20,10,
Birthday,Underground Sunshine ,1969-09-06,26,10,
"Oh, What A Night",The Dells ,1969-09-06,10,11,
Everybody's Talkin',Nilsson ,1969-09-06,6,12,
Hot Fun In The Summertime,Sly & The Family Stone ,1969-09-06,2,16,
Your Good Thing (Is About To End),Lou Rawls ,1969-09-06,18,14,
Did You See Her Eyes,The Illusion ,1969-09-06,32,13,
Marrakesh Express,"Crosby, Stills & Nash ",1969-09-06,28,8,
Little Woman,Bobby Sherman ,1969-09-06,3,13,
Commotion,Creedence Clearwater Revival ,1969-09-06,30,8,
Goo Goo Barabajagal (Love Is Hot),Donovan/Jeff Beck Group ,1969-09-06,36,7,
Move Over,Steppenwolf ,1969-09-06,31,9,
This Girl Is A Woman Now,Gary Puckett And The Union Gap ,1969-09-06,9,11,
What's The Use Of Breaking Up,Jerry Butler ,1969-09-06,20,10,
That's The Way Love Is,Marvin Gaye ,1969-09-06,7,12,
When I Die,Motherlode ,1969-09-06,18,13,
Odds And Ends,Dionne Warwick ,1969-09-06,43,8,
What Kind Of Fool Do You Think I Am,Bill Deal & The Rhondels ,1969-09-06,23,9,
Nobody But You Babe,Clarence Reid ,1969-09-06,40,10,
Sugar On Sunday,The Clique ,1969-09-06,22,11,
I'm Gonna Make You Mine,Lou Christie ,1969-09-06,10,12,
I Could Never Be President,Johnnie Taylor ,1969-09-06,48,8,
Change Of Heart,Dennis Yost And The Classics IV ,1969-09-06,49,7,
Simple Song Of Freedom,Tim Hardin ,1969-09-06,50,7,
True Grit,Glen Campbell ,1969-09-06,35,7,
I'm Free,The Who ,1969-09-06,37,8,
"Out Of Sight, Out Of Mind",Little Anthony And The Imperials ,1969-09-06,52,9,
Daddy's Little Man,O.C. Smith ,1969-09-06,34,7,
I'm A Better Man,Engelbert Humperdinck ,1969-09-06,38,7,
In A Moment,The Intrigues ,1969-09-06,31,14,
Lowdown Popcorn,James Brown ,1969-09-06,41,6,
Your Husband - My Wife,Brooklyn Bridge ,1969-09-06,46,8,
"You, I",The Rugbys ,1969-09-06,24,11,
You Got Yours And I'll Get Mine,The Delfonics ,1969-09-06,40,10,
I Do,The Moments ,1969-09-06,62,6,
Maybe The Rain Will Fall,The Cascades ,1969-09-06,61,6,
Muddy Mississippi Line,Bobby Goldsboro ,1969-09-06,53,9,
That's The Way God Planned It,Billy Preston ,1969-09-06,62,16,
Going In Circles,The Friends Of Distinction ,1969-09-06,15,20,
Here I Go Again,Smokey Robinson & The Miracles ,1969-09-06,37,9,
One Night Affair,The O'Jays ,1969-09-06,68,6,
By The Time I Get To Phoenix,Isaac Hayes ,1969-09-06,37,8,
Carry Me Back,The Rascals ,1969-09-06,26,8,
No One For Me To Turn To,Spiral Starecase ,1969-09-06,52,7,
The Train,1910 Fruitgum Co. ,1969-09-06,57,10,
Sad Girl,The Intruders ,1969-09-06,47,9,
Lodi,Al Wilson ,1969-09-06,67,7,
Armstrong,John Stewart ,1969-09-06,74,3,
Rain,Jose Feliciano ,1969-09-06,76,5,
Let Me Be The One,Peaches & Herb ,1969-09-06,74,4,
Hook And Sling-Part I,Eddie Bo ,1969-09-06,73,9,
Don't It Make You Want To Go Home,Joe South and The Believers ,1969-09-06,41,12,
We Gotta All Get Together,Paul Revere & The Raiders Featuring Mark Lindsay ,1969-09-06,50,7,
MÃ¡h-NÃ¡-Mah-NÃ¡,Piero Umiliani ,1969-09-06,55,6,
Something In The Air,Thunderclap Newman ,1969-09-06,37,10,
I Want You To Know,The New Colony Six ,1969-09-06,65,6,
Any Way That You Want Me,Evie Sands ,1969-09-06,53,17,
Can't Find The Time,Orpheus ,1969-09-06,80,7,
Sausalito (Is The Place To Go),Ohio Express ,1969-09-06,86,2,
Black Berries - Pt 1,The Isley Brothers ,1969-09-06,79,4,
Runnin' Blue,The Doors ,1969-09-06,64,6,
Make Believe,Wind ,1969-09-06,28,9,
Moonlight Sonata,Henry Mancini And His Orchestra ,1969-09-06,87,4,
Green Fields,The Vogues ,1969-09-06,92,3,
MacArthur Park,Waylon Jennings & The Kimberlys ,1969-09-06,93,2,
Baby It's You,Smith ,1969-09-06,5,15,
Luna Trip,Dickie Goodman ,1969-09-06,95,2,
The Ways To Love A Man,Tammy Wynette ,1969-09-06,81,4,
All I Have To Offer You (Is Me),Charley Pride ,1969-09-06,91,5,
Slum Baby,Booker T. & The MG's ,1969-09-06,88,4,
Life And Death In G & A,Abaco Dream ,1969-09-06,74,6,
Get Off My Back Woman,B.B. King ,1969-09-06,74,8,
The Weight,Supremes & Temptations ,1969-09-13,46,5,
World (Part 1),James Brown ,1969-09-13,37,7,
And That Reminds Me (My Heart Reminds Me),The 4 Seasons ,1969-09-13,45,7,
Suspicious Minds,Elvis Presley ,1969-09-13,1,15,
Jealous Kind Of Fella,Garland Green ,1969-09-13,20,10,
Chains Of Love,Bobby Bland ,1969-09-13,60,7,
Tracy,The Cuff Links ,1969-09-13,9,12,
Walk On By,Isaac Hayes ,1969-09-13,30,12,
My Balloon's Going Up,Archie Bell & The Drells ,1969-09-13,87,4,
Love's Been Good To Me,Frank Sinatra ,1969-09-13,75,4,
Love Theme From Romeo And Juliet (A Time For Us),Johnny Mathis ,1969-09-13,96,3,
Kool And The Gang,Kool & The Gang ,1969-09-13,59,12,
Love Of The Common People,The Winstons ,1969-09-20,54,6,
Jack And Jill,Tommy Roe ,1969-09-20,53,13,
Son Of A Lovin' Man,Buchanan Brothers ,1969-09-20,61,6,
Let A Woman Be A Woman - Let A Man Be A Man,Dyke And The Blazers ,1969-09-20,36,11,
You've Lost That Lovin' Feeling,Dionne Warwick ,1969-09-20,16,10,
Don't Forget To Remember,Bee Gees ,1969-09-20,73,3,
Jesus Is A Soul Man,Lawrence Reynolds ,1969-09-20,28,10,
"Since I Met You, Baby",Sonny James ,1969-09-20,65,7,
Drummer Man,Nancy Sinatra ,1969-09-20,98,2,
Good Clean Fun,The Monkees ,1969-09-20,82,5,
Wedding Bell Blues,The 5th Dimension ,1969-09-27,1,15,
Is That All There Is,Peggy Lee ,1969-09-27,11,10,
Doin' Our Thing,Clarence Carter ,1969-09-27,46,9,
So Good Together,Andy Kim ,1969-09-27,36,9,
San Francisco Is A Lonely Town,Joe Simon ,1969-09-27,79,3,
Echo Park,Keith Barbour ,1969-09-27,40,9,
"Baby, I'm For Real",The Originals ,1969-09-27,14,16,
Time Machine,Grand Funk Railroad ,1969-09-27,48,11,
"Mind, Body and Soul",The Flaming Ember ,1969-09-27,26,14,
Was It Good To You,The Isley Brothers ,1969-09-27,83,5,
We'll Cry Together,Maxine Brown ,1969-09-27,73,8,
Julia,Ramsey Lewis ,1969-09-27,76,8,
Reuben James,Kenny Rogers & The First Edition ,1969-09-27,26,12,
I Wonder Who's Kissing Her Now,Bobby Darin ,1964-03-07,93,3,
You Were Wrong,Z.Z. Hill ,1964-03-07,100,1,
Always In My Heart,Los Indios Tabajaras ,1964-03-21,82,2,
Searchin',Ace Cannon ,1964-03-21,84,2,
Stockholm,Lawrence Welk And His Orchestra ,1964-03-21,91,2,
"Run, Run, Run",The Supremes ,1964-03-21,93,2,
"Jailer, Bring Me Water",Trini Lopez ,1964-03-21,94,2,
"(The Story Of) Woman, Love And A Man (Part 1)",Tony Clarke ,1964-03-14,88,1,
Come Together/Something,The Beatles ,1969-11-01,1,16,
Something,The Beatles ,1969-11-01,3,6,
Smile A Little Smile For Me,The Flying Machine ,1969-11-01,5,14,
And When I Die,"Blood, Sweat & Tears ",1969-11-01,2,13,
Take A Letter Maria,R.B. Greaves ,1969-11-01,2,15,
Ball Of Fire,Tommy James And The Shondells ,1969-11-01,19,8,
Let A Man Come In And Do The Popcorn (Part One),James Brown ,1969-11-01,21,8,
"Yester-Me, Yester-You, Yesterday",Stevie Wonder ,1969-11-01,7,14,
Try A Little Kindness,Glen Campbell ,1969-11-01,23,11,
Suite: Judy Blue Eyes,"Crosby, Stills & Nash ",1969-11-01,21,12,
Cherry Hill Park,Billy Joe Royal ,1969-11-01,15,15,
Backfield In Motion,Mel And Tim ,1969-11-01,10,14,
Na Na Hey Hey Kiss Him Goodbye,Steam ,1969-11-01,1,16,
Eli's Coming,Three Dog Night ,1969-11-01,10,14,
Undun,The Guess Who ,1969-11-01,22,10,
The Sweeter He Is - Part I,The Soul Children ,1969-11-01,52,7,
You'll Never Walk Alone,The Brooklyn Bridge ,1969-11-01,51,6,
Make Your Own Kind Of Music,Mama Cass Elliot ,1969-11-01,36,9,
Leaving On A Jet Plane,"Peter, Paul & Mary ",1969-11-01,1,17,
Fortunate Son,Creedence Clearwater Revival ,1969-11-01,14,4,
Down On The Corner/Fortunate Son,Creedence Clearwater Revival ,1969-11-01,3,15,
Turn On A Dream,The Box Tops ,1969-11-01,58,7,
Groovy Grubworm,Harlow Wilcox and the Oakies ,1969-11-01,30,12,
I'll Bet You,Funkadelic ,1969-11-01,63,7,
Roosevelt And Ira Lee (Night of the Mossacin),Tony Joe White ,1969-11-01,44,7,
Friendship Train,Gladys Knight And The Pips ,1969-11-01,17,14,
Shangri-La,The Lettermen ,1969-11-01,64,5,
These Eyes,Jr. Walker & The All Stars ,1969-11-01,16,13,
Proud Mary,"The Checkmates, Ltd. featuring Sonny Charles ",1969-11-01,69,4,
The Colour Of My Love,Jefferson ,1969-11-01,68,9,
Holly Holy,Neil Diamond ,1969-11-01,6,14,
I Still Believe In Tomorrow,John & Anne Ryder ,1969-11-01,70,5,
Delta Lady,Joe Cocker ,1969-11-01,69,6,
Up On Cripple Creek,The Band ,1969-11-01,25,14,
Silver Threads And Golden Needles,The Cowsills ,1969-11-01,74,7,
Evil Woman Don't Play Your Games With Me,CROW ,1969-11-01,19,15,
Say You Love Me,The Impressions ,1969-11-01,58,9,
Crumbs Off The Table,The Glass House ,1969-11-01,59,9,
Sunday Mornin' Comin' Down,Ray Stevens ,1969-11-01,81,3,
On The Dock Of The Bay,The Dells ,1969-11-01,42,8,
I Guess The Lord Must Be In New York City,Nilsson ,1969-11-01,34,7,
She's Got Love,Thomas & Richard Frost ,1969-11-01,83,4,
Tonight I'll Be Staying Here With You,Bob Dylan ,1969-11-01,50,7,
Raindrops Keep Fallin' On My Head,B.J. Thomas ,1969-11-01,1,22,
It's Hard To Get Along,Joe Simon ,1969-11-01,87,3,
We Must Be In Love,Five Stairsteps & Cubie ,1969-11-01,88,3,
Wonderful,Blackwell ,1969-11-01,89,2,
Love Will Find A Way,Jackie DeShannon ,1969-11-01,40,8,
Okie From Muskogee,Merle Haggard And The Strangers ,1969-11-01,41,14,
Ballad Of Easy Rider,The Byrds ,1969-11-01,65,6,
"We Love You, Call Collect",Art Linkletter ,1969-11-01,42,6,
Cupid,Johnny Nash ,1969-11-01,39,14,
One Woman,Johnny Rivers ,1969-11-01,89,4,
She Belongs To Me,Rick Nelson ,1969-11-01,33,18,
Jingo,Santana ,1969-11-01,56,8,
Why Is The Wine Sweeter (On The Other Side),Eddie Floyd ,1969-11-01,98,2,
Midnight Cowboy,Ferrante & Teicher ,1969-11-01,10,15,
I Can't Make It Alone,Lou Rawls ,1969-11-01,63,7,
Someday We'll Be Together,Diana Ross & The Supremes ,1969-11-08,1,16,
Heaven Knows,The Grass Roots ,1969-11-08,24,10,
A Brand New Me,Dusty Springfield ,1969-11-08,24,12,
Girls It Ain't Easy,The Honey Cone ,1969-11-08,68,6,
Just A Little Love,B.B. King ,1969-11-08,76,5,
You Got To Pay The Price,Gloria Taylor ,1969-11-08,49,9,
The Ten Commandments Of Love,Little Anthony And The Imperials ,1969-11-08,82,4,
Kozmic Blues,Janis Joplin ,1969-11-08,41,9,
(I'm So) Afraid Of Losing You Again,Charley Pride ,1969-11-08,74,6,
Eleanor Rigby,Aretha Franklin ,1969-11-08,17,8,
That's How Heartaches Are Made,The Marvelettes ,1969-11-08,97,1,
Volunteers,Jefferson Airplane ,1969-11-08,65,10,
See Ruby Fall,Johnny Cash ,1969-11-08,75,3,
Jam Up Jelly Tight,Tommy Roe ,1969-11-29,8,14,
Whole Lotta Love,Led Zeppelin ,1969-11-29,4,15,
Cold Turkey,Plastic Ono Band ,1969-11-29,30,12,
Ain't It Funky Now (Part 1),James Brown ,1969-11-29,24,11,
I Want You Back,Jackson 5 ,1969-11-29,1,19,
La La La (If I Had You),Bobby Sherman ,1969-11-29,9,11,
Sunday Mornin',Oliver ,1969-11-29,35,9,
Early In The Morning,Vanity Fare ,1969-11-29,12,13,
Midnight,Dennis Yost And The Classics IV ,1969-11-29,58,8,
Blistered/See Ruby Fall,Johnny Cash ,1969-11-29,50,6,
Get It From The Bottom,The Steelers ,1969-11-29,56,6,
Get Rhythm,Johnny Cash ,1969-11-29,60,6,
I'll Hold Out My Hand,The Clique ,1969-11-29,45,7,
Don't Cry Daddy/Rubberneckin',Elvis Presley ,1969-11-29,6,13,
Can't Take My Eyes Off You,Nancy Wilson ,1969-11-29,52,10,
Fancy,Bobbie Gentry ,1969-11-29,31,14,
Don't Let Love Hang You Up,Jerry Butler ,1969-11-29,44,8,
What You Gave Me,Marvin Gaye & Tammi Terrell ,1969-11-29,49,8,
Walkin' In The Rain,Jay & The Americans ,1969-11-29,19,15,
I'm Tired,Savoy Brown ,1969-11-29,74,5,
Turn! Turn! Turn!/To Everything There Is A Season,Judy Collins ,1969-11-29,69,7,
Swingin' Tight,Bill Deal & The Rhondels ,1969-11-29,85,5,
Je T'Aime...Moi Non Plus,Jane Birkin Serge Gainsbourg ,1969-11-29,58,10,
One Tin Soldier,The Original Caste ,1969-11-29,34,17,
Happy,Paul Anka ,1969-11-29,86,3,
Jingle Jangle,The Archies ,1969-11-29,10,13,
Tonight I'll Say A Prayer,Eydie Gorme ,1969-11-29,45,12,
I Love You,Otis Leavill ,1969-11-29,63,9,
No One Better Than You,Petula Clark ,1969-11-29,93,1,
You Keep Me Hanging On,Wilson Pickett ,1969-11-29,92,3,
It's A Funky Thing-Right On (Part 1),Herbie Mann ,1969-11-29,95,2,
(One Of These Days) Sunday's Gonna' Come On Tuesday,The New Establishment ,1969-11-29,92,2,
Feeling Alright,Mongo Santamaria ,1969-11-29,96,2,
Curly,Jimmy Clanton ,1969-11-29,97,3,
Wichita Lineman,Sergio Mendes & Brasil '66 ,1969-11-29,95,2,
Goin' Out Of My Head/Forget To Remember,Frank Sinatra ,1969-11-29,79,4,
St. Louis,The Easybeats ,1969-11-15,100,1,
Don't Let Him Take Your Love From Me,Four Tops ,1969-12-06,45,7,
"Wonderful World, Beautiful People",Jimmy Cliff ,1969-12-06,25,11,
Winter World Of Love,Engelbert Humperdinck ,1969-12-06,16,12,
Lady-O,The Turtles ,1969-12-06,78,4,
Look-Ka Py Py,The Meters ,1969-12-06,56,10,
She Came In Through The Bathroom Window,Joe Cocker ,1969-12-06,30,12,
Arizona,Mark Lindsay ,1969-12-06,10,16,
Let's Work Together (Part 1),Wilbert Harrison ,1969-12-06,32,13,
I Started Loving You Again,Al Martino ,1969-12-06,86,5,
Camel Back,A.B. Skhy ,1969-12-06,100,1,
She,Tommy James And The Shondells ,1969-12-13,23,8,
Point It Out,Smokey Robinson & The Miracles ,1969-12-13,37,8,
Venus,The Shocking Blue ,1969-12-13,1,14,
She Lets Her Hair Down (Early In The Morning),The Tokens ,1969-12-13,61,7,
When Julie Comes Around,The Cuff Links ,1969-12-13,41,9,
"To Be Young, Gifted And Black",Nina Simone ,1969-12-13,76,7,
Is It Because I'm Black,Syl Johnson ,1969-12-13,68,6,
Land Of 1000 Dances,The Electric Indian ,1969-12-13,95,1,
Six White Horses,Tommy Cash ,1969-12-13,79,6,
She Lets Her Hair Down (Early In The Morning),Gene Pitney ,1969-12-13,89,5,
Alice's Rock & Roll Restaurant,Arlo Guthrie ,1969-12-13,97,2,
How I Miss You Baby,Bobby Womack ,1969-12-13,93,2,
Big In Vegas,Buck Owens and The Buckaroos ,1969-12-13,100,1,
Let A Man Come In And Do The Popcorn (Part Two),James Brown ,1969-12-20,40,8,
Baby Take Me In Your Arms,Jefferson ,1969-12-20,23,12,
I'm So Glad I Fell For You,David Ruffin ,1969-12-20,53,7,
No Time,The Guess Who ,1969-12-20,5,14,
Are You Getting Any Sunshine?,Lou Christie ,1969-12-20,73,4,
Come Saturday Morning,The Sandpipers ,1969-12-20,17,20,
Together,The Illusion ,1969-12-20,80,4,
Groovin' (Out On Life),The Newbeats ,1969-12-20,82,5,
I'm Gonna Love You,The Intrigues ,1969-12-20,86,3,
Voodoo Woman,Simon Stokes/Nighthawks ,1969-12-20,90,2,
Bold Soul Sister,Ike & Tina Turner ,1969-12-20,59,8,
Love Bones,Johnnie Taylor ,1969-12-20,43,10,
It's Been A Long Time,Betty Everett ,1969-12-20,96,2,
Mr. Limousine Driver,Grand Funk Railroad ,1969-12-20,97,2,
Too Many Cooks (Spoil The Soup),100 Proof Aged in Soul ,1969-12-20,94,2,
"He Ain't Heavy, He's My Brother",The Hollies ,1969-12-20,7,18,
Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star,Sly & The Family Stone ,1970-02-07,1,13,
Without Love (There Is Nothing),Tom Jones ,1970-02-07,5,11,
I'll Never Fall In Love Again,Dionne Warwick ,1970-02-07,6,11,
Hey There Lonely Girl,Eddie Holman ,1970-02-07,2,14,
Psychedelic Shack,The Temptations ,1970-02-07,7,11,
Walk A Mile In My Shoes,Joe South and The Believers ,1970-02-07,12,11,
Travelin' Band/Who'll Stop The Rain,Creedence Clearwater Revival ,1970-02-07,2,10,
Blowing Away,The 5th Dimension ,1970-02-07,21,9,
Honey Come Back,Glen Campbell ,1970-02-07,19,9,
Rainy Night In Georgia/Rubberneckin',Brook Benton ,1970-02-07,4,15,
The Thrill Is Gone,B.B. King ,1970-02-07,15,14,
Didn't I (Blow Your Mind This Time),The Delfonics ,1970-02-07,10,14,
Ma Belle Amie,The Tee Set ,1970-02-07,5,12,
Oh Me Oh My (I'm A Fool For You Baby),Lulu ,1970-02-07,22,14,
Give Me Just A Little More Time,Chairmen Of The Board ,1970-02-07,3,15,
Monster,Steppenwolf ,1970-02-07,39,8,
Evil Ways,Santana ,1970-02-07,9,13,
How Can I Forget/Gonna Give Her All The Love I've Got,Marvin Gaye ,1970-02-07,41,7,
Breaking Up Is Hard To Do,Lenny Welch ,1970-02-07,34,10,
Always Something There To Remind Me,R.B. Greaves ,1970-02-07,27,8,
Bridge Over Troubled Water,Simon & Garfunkel ,1970-02-07,1,14,
The Rapper,The Jaggerz ,1970-02-07,2,13,
Hold On,The Rascals ,1970-02-07,51,7,
Traces/Memories Medley,The Lettermen ,1970-02-07,47,8,
Jennifer Tomkins,Street People ,1970-02-07,36,15,
You Got Me Hummin,Cold Blood ,1970-02-07,52,6,
If I Were A Carpenter,Johnny Cash & June Carter ,1970-02-07,36,8,
Moon Walk Part 1,Joe Simon ,1970-02-07,54,8,
Oh What A Day,The Dells ,1970-02-07,43,8,
